gameName;tagLine;team;name
Tvinga;EUW;PSG;Tvinga
Partoutatis2;EUW;PSG;Partoutatis
RuiRui ;1313;PSG;Ruirui
VIRG ;RAMM4;PSG;Virg
jvlogs ;jvlgs;PSG;Jvlog
Lethality Player ;EUW;PSG;Lethality Player
CestMoiDrydry ;EUW;PSG;DryDry
UntTafiir;EUW;PSG;UntTafiir
byArnaud4X;EUW;Internationale;byArnaud4X
Xesky;EUW;Internationale;Xesky
Waifus;EUW;Internationale;Waifus
Olaf la girafe;EUW;Internationale;Olaf la girafe
NUKE them ALL;EUW;Internationale;NUKE them ALL
Alkoor;RAZ;Internationale;Alkoor
NeruGoo ;EUW;Rotomagus Rex;neruzelie
Adouairy;EUW;Rotomagus Rex;Adouairy
Flotilter ;EUW;Rotomagus Rex;Flotilter
PasteurPouglas;EUW;Rotomagus Rex;PasteurPouglas
50n Xyru ;EUW;Rotomagus Rex;50n Xyru
Ryukoshin;EUW;Rotomagus Rex;Ryukoshin
AyaqueSama;4280;EST;AyaqueSama
LoveInSpace;EUW;EST;LoveInSpace
Murkow;EUW;EST;Murkow
Maestel;6266;EST;Maestel
Ricky Marvin;EUW;EST;Ricky Marvin
Helixo;5568;EST;Helixo
Studzy ;EUW;EST;Studzy 
Nanayara;EUW;Arènes Tournantes;Nanayara
Rymev;EUW;Arènes Tournantes;Rymev
Melhiast;2912;Arènes Tournantes;Melhiast
Hyuuki;EUW;Arènes Tournantes;Hyuuki
G2 Jhin Moulant;LEBUS;Arènes Tournantes;G2 Jhin Moulant
n13ls01 ;EUW;Atlanteam;Niels
Le Rhum Roux;EUW;Atlanteam;Le Rhum Roux
L emplume;EUW;Atlanteam;L emplume
sulion;EUW;Atlanteam;sulion
mozencaz;EUW;Atlanteam;mozencaz
Viralim;MAGE;Atlanteam;Viralim
Kenny;EFG6;Atlanteam;Kenny
Tÿrfing;EUW;Atlanteam;Tÿrfing
Nangdar;EUW;Lil Reload;Nangdar
tapafe;EUW;Lil Reload;Tapafe
Tyrenn;EUW;Lil Reload;Tyrenn
ColonelMousseux;EUW;Lil Reload;Capichefgnegne
mehdicito17;EUW;Lil Reload;mehdicito17
Bozo Lord;EUW;Lil Reload;Bøzø Lord
Kyramud Prudii;EUW;Lil Reload;CasuxGaming
Whitingal;EUW;Lil Carry;Whitingal
Papa Noth;PAPA;Lil Carry;Papa Noth
Kiotys;EUW;Lil Carry;Kiotys
Akali Fourchon;7777;Lil Carry;Akali Fourchon
poche;EUW;Lil Carry;poche
LoWeeKS;EUW;NofingTouloose;LoWeeKS
Hyvel;EUW;NofingTouloose;Hyvel
RedGamer;00001;NofingTouloose;RedGamer
Orynn;yeet;NofingTouloose;Orynn
Cro0hn;EUW;NofingTouloose;Cro0hn
Riffian;EUW;NofingTouloose;Riffian
H94L;EUW;PSG;H94L
