name;team;position;main;score;winrate;matches_played;kills_norm;deaths_norm;assists_norm;kda_norm;damageDealtToBuildings_norm;damageDealtToObjectives_norm;damageDealtToTurrets_norm;gameDuration_norm;damagePerMinute_norm;damageTakenOnTeamPercentage_norm;firstTurretKilled_norm;goldPerMinute_norm;killParticipation_norm;laneMinionsFirst10Minutes_norm;riftHeraldTakedowns_norm;soloKills_mean_norm;soloKills_total_norm;stealthWardsPlaced_norm;survivedSingleDigitHpCount_norm;teamBaronKills_norm;teamDamagePercentage_norm;teamRiftHeraldKills_norm;turretPlatesTaken_norm;voidMonsterKill_norm;wardTakedowns_norm;damageSelfMitigated_norm;firstBloodKill_norm;largestCriticalStrike_norm;largestMultiKill_norm;magicDamageDealt_norm;magicDamageDealtToChampions_norm;magicDamageTaken_norm;objectivesStolen_norm;pentaKills_norm;physicalDamageDealt_norm;physicalDamageDealtToChampions_norm;physicalDamageTaken_norm;timeCCingOthers_norm;totalDamageDealt_norm;totalDamageDealtToChampions_norm;totalDamageShieldedOnTeammates_norm;totalHeal_norm;totalHealsOnTeammates_norm;totalMinionsKilled_norm;totalTimeCCDealt_norm;totalTimeSpentDead_norm;trueDamageDealt_norm;trueDamageDealtToChampions_norm;trueDamageTaken_norm;turretKills_norm;visionScore_norm;visionWardsBoughtInGame_norm;wardsKilled_norm;wardsPlaced_norm;pinksPlaced_norm;cs_15_norm;gold_15_norm;xp_15_norm;cs_15_diff_norm;gold_15_diff_norm;xp_15_diff_norm;visionScorePerMinute_norm;CSPerMinute_norm;win_count;kills;deaths;assists;kda;damageDealtToBuildings;damageDealtToObjectives;damageDealtToTurrets;gameDuration;damagePerMinute;damageTakenOnTeamPercentage;firstTurretKilled;goldPerMinute;killParticipation;laneMinionsFirst10Minutes;riftHeraldTakedowns;soloKills_mean;soloKills_total;stealthWardsPlaced;survivedSingleDigitHpCount;teamBaronKills;teamDamagePercentage;teamRiftHeraldKills;turretPlatesTaken;voidMonsterKill;wardTakedowns;damageSelfMitigated;firstBloodKill;largestCriticalStrike;largestMultiKill;magicDamageDealt;magicDamageDealtToChampions;magicDamageTaken;objectivesStolen;pentaKills;physicalDamageDealt;physicalDamageDealtToChampions;physicalDamageTaken;timeCCingOthers;totalDamageDealt;totalDamageDealtToChampions;totalDamageShieldedOnTeammates;totalHeal;totalHealsOnTeammates;totalMinionsKilled;totalTimeCCDealt;totalTimeSpentDead;trueDamageDealt;trueDamageDealtToChampions;trueDamageTaken;turretKills;visionScore;visionWardsBoughtInGame;wardsKilled;wardsPlaced;pinksPlaced;cs_15;gold_15;xp_15;cs_15_diff;gold_15_diff;xp_15_diff;visionScorePerMinute;CSPerMinute;FirstBlood_pct;FirstTurret_pct
50n Xyru;Rouen Rotomagus Rex;TOP;VRAI;37,89802004;1;2;29,16666667;95,45454545;66,66666667;63,41935484;37,76786178;29,23083459;37,76786178;44,93346981;47,49630859;40;25;60,72237604;74,6835443;82,91139241;100;16,66666667;16,66666667;24,13793103;0;66,66666667;54,76190476;100;;88,88888889;3,571428571;50,71715949;0;0,233535731;25;14,20725731;27,60261457;55,60560561;0;;32,66706948;31,78224994;69,88196965;35,625;35,75198126;50,03932909;0;22,8234754;0;67,78761062;40,86727989;82,35294118;8,431829197;4,121459259;76,95552609;85,71428571;14,17267037;9,372071228;3,571428571;18,75;5,359056806;79,32330827;53,73279879;81,82847607;62,30366492;57,43757559;76,88941925;13,26860841;76,01476015;2;3,5;1,5;10;9,83;3639,5;13761;3639,5;1858;701,02;0,22;2;377,07;0,59;65,5;2;1;2;7;0;1;0,23;1;0;4;0,5;31284,5;0;5;1;39583;11340;9301;0;0;91755,5;10091,5;10795;28,5;140311;21715,5;0;7465;0;196,5;311;55,5;8972;283;956;3;12;1;0,5;7,5;0,5;110,5;4825,5;7425;-6;-240;-4;0,41;6,35;0;1
Adouairy;Milan Wolfpack;JGL;VRAI;8,769492471;0;2;0;59,09090909;20;3,806451613;0;7,086262931;0;2,047082907;14,9180406;31,42857143;25;36,8537629;62,02531646;0,632911392;0;0;0;27,5862069;0;0;26,19047619;0;;0;7,142857143;36,20960356;0;7,61326483;0;14,36933393;3,523294458;52,17717718;0;;17,49032342;10,99143361;57,21997826;16,25;33,53083943;12,14806246;6,838547398;33,34302548;0;4,424778761;52,10249671;48,0127186;39,81107139;4,7112794;92,21405327;0;17,12531003;0;7,142857143;20;0;65,41353383;53,03933254;61,9822397;63,61256545;49,43444547;73,06085919;20,38834951;6,888068881;0;0;5,5;3;0,59;0;3336;0;1439;222,24;0,25;2;282,24;0,49;0,5;0;0;0;8;0;0;0,11;0;0;0;1;22414;0;163;0;40027;1522,5;9917,5;0;0;49264;3490;15322;13;131653,5;5337;217,5;10902;0;17,5;396,5;163,5;42361,5;323,5;323;0;14,5;0;1;8;0;92;4793,5;5760;-3,5;-802,5;-389;0,63;0,73;0;1
Alkoor;Barcelona Savage;JGL;VRAI;27,38912644;0;2;29,16666667;68,18181818;16,66666667;8,903225806;10,91682665;18,5589566;10,91682665;18,37256909;27,42595075;28,57142857;25;56,40322175;70,88607595;2,53164557;50;16,66666667;16,66666667;3,448275862;0;0;45,23809524;50;;11,11111111;21,42857143;38,24823368;0;11,77020084;25;1,895639445;2,136296187;55,64453342;0;;42,8205578;28,76669186;43,17487337;93,75;45,03549465;24,98669751;0;46,90795011;0;4,07079646;65,44021025;50,23847377;47,4182316;11,58523265;63,2879354;28,57142857;17,71583796;9,372071228;21,42857143;3,75;5,359056806;75,56390977;70,57102611;68,44269623;64,92146597;57,35932276;76,03918059;19,09385113;5,658056581;0;3,5;4,5;2,5;1,38;1052;8737;1052;1598,5;406,06;0,26;2;359,91;0,56;2;1;1;2;1;0;0;0,19;0,5;0;0,5;3;23660,5;0;252;1;5856;957;9294;0;0;120183;9134;20343,5;75;176496;10886,5;0;15334;0;16,5;498;156,5;50456;795,5;1523;1;15;1;3;1,5;0,5;105,5;5602,5;6302;-1;-245,5;-89,5;0,59;0,63;0;1
AyaqueSama;Lyon Nexus;JGL;VRAI;77,56382883;1;2;62,5;100;43,33333333;90,32258065;6,465002854;94,88391359;6,465002854;2,047082907;39,70999503;17,14285714;25;72,3659703;75,94936709;2,53164557;100;8,333333333;8,333333333;8,620689655;0;0;40,47619048;100;;88,88888889;35,71428571;30,55573728;0;14,29238674;50;4,684160478;3,235102952;77,44967189;0;;38,61272222;38,0180776;40,6393984;20;47,89302601;32,35164835;0;55,89103987;0;8,14159292;41,52431012;92,68680445;61,77874944;8,636131945;97,07123057;14,28571429;24,21164521;32,8022493;35,71428571;11,25;21,43622722;68,04511278;70,43016578;66,61898802;67,27748691;72,27004339;80,79753381;28,15533981;12,300123;2;7,5;1;6,5;14;623;44668,5;623;1439;586,59;0,3;2;423,33;0,6;2;2;0,5;1;2,5;0;0;0,17;1;0;4;5;18957;0;306;2;13495;1405;5373;0;0;108402;12071,5;21250;16;187634;14070;0;18269;0;28;316;23;65736,5;593;121,5;0,5;20,5;3,5;5;4,5;2;95,5;5596;6149;3,5;802,5;389;0,87;1,17;0;1
Bozo;Milan Wolfpack;SUP;VRAI;4,526154666;0;2;4,166666667;72,72727273;13,33333333;4,516129032;0;0,100898528;0;2,047082907;12,45619646;62,85714286;25;20,18122326;53,16455696;16,4556962;0;0;0;55,17241379;0;0;21,42857143;0;;0;46,42857143;21,97272014;50;0;25;1,755100029;6,930085967;57,61316872;0;;1,404040544;4,352481733;85,19830827;29,375;3,103184641;10,15962984;16,47539695;5,160303007;3,192996009;8,495575221;6,307490145;71,54213037;3,153477805;2,679676691;93,63625407;0;51,37593008;18,74414246;46,42857143;45;21,43622722;13,15789474;27,37024596;45,40199058;68,58638743;57,02496977;79,58929992;59,22330097;12,79212792;0;0,5;4;2;0,7;0;47,5;0;1439;186,06;0,14;2;216;0,42;13;0;0;0;16;0;0;0,09;0;0;0;6,5;13709;1;0;1;5471;2911,5;8940;0;0;4226;1382;5319;23,5;13053,5;4477,5;524;1694;124;29;48;89,5;3355,5;184;264;0;43,5;2;6,5;18;2;22,5;3609;4369;6;-269;267,5;1,83;1,21;0,5;1
CasuxGaming;Toulouse sentinels;SUP;VRAI;71,65786374;0;2;8,333333333;72,72727273;43,33333333;12,12903226;0,658952939;3,878751832;0,658952939;44,93346981;15,4875717;65,71428571;25;24,41731689;94,93670886;8,227848101;0;0;0;82,75862069;0;0;28,57142857;0;;0;100;12,55315321;0;0;50;4,242465171;14,38750107;65,58781003;0;;1,137947894;2,402998236;76,50804821;30,625;4,186881217;16,24291498;76,84326364;25,27966945;100;9,026548673;5,847568988;56,75675676;1,420028301;5,694312969;95,60081957;0;79,72127082;28,11621368;100;67,5;32,15434084;6,015037594;29,80821324;51,54061625;60,20942408;59,05242939;82,87589499;70,87378641;10,08610086;0;1;4;6,5;1,88;63,5;1826;63,5;1858;230,61;0,13;2;232,83;0,75;6,5;0;0;0;24;0;0;0,12;0;0;0;14;7949,5;0;0;2;12285;5952;7506;0;0;3481;763;8426;24,5;17277,5;7107;2444;8267,5;3883,5;30,5;44,5;136;1511;391;182,5;0;67,5;3;14;27;3;13;3721,5;4884;-10;-126,5;598;2,19;0,99;0;1
Eneko;Bordeaux Blades;MID;VRAI;34,78757717;0;2;16,66666667;0;30;3,677419355;10,92720386;2,236761051;10,92720386;26,25383828;17,424794;48,57142857;25;35,71860055;69,62025316;43,67088608;0;16,66666667;16,66666667;20,68965517;0;0;35,71428571;0;;0;14,28571429;21,95800079;50;0;25;20,00916244;15,58809462;33,69480592;0;;3,120070254;1,044028723;72,15732419;22,5;16,36422878;16,01272412;9,133783996;5,17101538;0;32,38938053;13,66622865;0;0,219441832;3,400567975;81,65602025;0;14,7631983;0;14,28571429;15;0;41,72932331;40,37273811;72,34638536;30,89005236;21,70448887;53,858393;14,2394822;41,20541205;0;2;12;4,5;0,57;1053;1053;1053;1675,5;259,08;0,19;2;277,73;0,55;34,5;0;1;2;6;0;0;0,15;0;0;0;2;13700;1;0;1;55477;6441,5;13241;0;0;9030,5;331,5;9981,5;18;64742;7007,5;290,5;1697,5;0;96,5;104;314,5;233,5;233,5;761;0;12,5;0;2;6;0;60,5;4209;6629,5;-66;-2751,5;-2320;0,44;3,52;0,5;1
ExciDamus;Lyon Nexus;BOT;VRAI;64,17090385;1;2;29,16666667;100;30;51,61290323;72,5470866;23,24277248;72,5470866;2,047082907;55,08189136;71,42857143;25;74,02718349;41,7721519;84,17721519;0;0;0;18,96551724;0;0;52,38095238;100;;0;3,571428571;7,713757687;0;18,02895843;50;21,42988817;18,56934378;94,33878323;0;;23,40990265;36,93153187;81,62654705;5,625;32,46407561;44,67437825;0;9,237126023;0;68,67256637;14,717477;96,18441971;2,150248016;0,189324984;95,52850428;85,71428571;13,58214244;9,372071228;3,571428571;17,5;10,71811361;92,10526316;67,450428;70,90410632;75,13089005;63,76182685;86,18237868;16,18122977;100;2;3,5;1;4,5;8;6991;10942;6991;1439;812,5;0,11;2;429,93;0,33;66,5;0;0;0;5,5;0;0;0,22;1;0;0;0,5;4990,5;0;386;2;59369;7657;2336;0;0;65837,5;11726,5;6596;4,5;127495,5;19396,5;0;3026;0;199;112;12;2288;13;185,5;3;11,5;1;0,5;7;1;127,5;5458,5;6508,5;18,5;204,5;930,5;0,5;8,3;0;1
Faxxiz;Barcelona Savage;TOP;VRAI;18,35426638;0;2;12,5;50;3,333333333;2,064516129;45,64416541;13,19540328;45,64416541;18,37256909;33,25394827;25,71428571;25;50,67707022;25,3164557;80,37974684;50;0;0;27,5862069;0;0;57,14285714;50;;11,11111111;7,142857143;51,34518514;0;0,326950023;25;3,128005855;5,941650418;90,44044044;0;;35,80035508;29,38397581;34,10422215;22,5;28,91986957;30,06362059;31,99182518;11,50814906;0;65,30973451;27,13534823;47,21780604;3,683991357;18,0950994;0;28,57142857;15,94425416;0;7,142857143;20;0;80,45112782;50,78556723;78,78300256;56,02094241;34,80828057;65,08054893;16,82847896;85,2398524;0;1,5;6,5;0,5;0,32;4398,5;6212;4398,5;1598,5;491,71;0,27;2;337,16;0,2;63,5;1;0;0;8;0;0;0,24;0,5;0;0,5;1;31668,5;0;7;1;9232;2508,5;3037;0;0;100528;9330;23586,5;18;113681;13081;1017,5;3768;0;189,5;206,5;166;3920;1242,5;4148,5;1;13,5;0;1;8;0;112;4689,5;7169,5;-18;-1830,5;-1191,5;0,52;7,1;0;1
Fieldtop;Toulouse sentinels;JGL;VRAI;38,39063835;0;2;25;59,09090909;23,33333333;7,870967742;0;27,06948191;0;44,93346981;22,75062431;22,85714286;25;43,65215203;81,01265823;0;0;0;0;6,896551724;0;0;42,85714286;0;;22,22222222;35,71428571;47,84525056;100;11,58337226;25;14,4226294;4,959346602;40,62951841;0;;31,4155411;24,55593348;37,81723155;21,25;47,83042612;23,87969925;0;51,38266126;0;4,247787611;66,62286465;44,83306836;55,41399652;7,31085706;87,48945402;0;28,34534073;9,372071228;35,71428571;7,5;10,71811361;62,40601504;57,91526709;58,03683175;56,28272251;54,2790069;71,00238663;25,88996764;4,67404674;0;3;5,5;3,5;1,22;0;12743,5;0;1858;337,35;0,28;2;309,25;0,64;0;0;0;0;2;0;0;0,18;0;0;1;5;29528,5;2;248;1;40173;2108;11994;0;0;88251,5;7797;22259;17;187390;10408;0;16796;0;17;507;173,5;58964;502;519;0;24;1;5;3;1;88;5018,5;5429;-17,5;-462;-596;0,8;0,55;1;1
